,Restaurant Name,City,Cuisine,Meal Name,Meal Price (€),Restaurant Rating,Meal Rating
218,Flavorful Cuisine Leipzig,Leipzig,Mexican,Pozole,58.21,3.9,4.0
219,Heavenly Palace Augsburg,Augsburg,French,Bouillabaisse,58.29,2.7,1.9
220,Exotic Corner Mülheim,Mülheim,Indian,Butter Chicken,33.95,2.4,2.8
221,Elegant House Trier,Trier,Thai,Larb Gai,79.73,4.6,2.8
222,Savory Pizza House Munich,Munich,Italian,Bolognese Pasta,39.51,4.1,4.5
223,Savory Bistro Siegen,Siegen,Turkish,Kumpir,22.97,1.6,1.9
224,Savory Heaven Leipzig,Leipzig,French,Soufflé,40.22,2.2,1.4
225,Delicious Cuisine Berlin,Berlin,Mediterranean,Tzatziki,17.98,2.9,2.7
226,Fresh Bistro Göttingen,Göttingen,German,Käsespätzle,48.37,2.3,2.8
227,Rustic Cellar Offenbach,Offenbach,German,Spätzle,5.42,2.5,2.8
228,Flavorful Food Spot Halle (Saale),Halle (Saale),Italian,Ossobuco,50.59,3.4,3.2
229,Grand Grill Reutlingen,Reutlingen,Indian,Dal Makhani,49.46,4.3,3.3
230,Royal Tavern Lübeck,Lübeck,Mexican,Churros,45.88,2.8,3.5
231,Tasty Table Dortmund,Dortmund,Indian,Chole Bhature,61.67,2.4,2.5
232,Vibrant Barbecue Aachen,Aachen,Italian,Penne Arrabbiata,75.92,1.3,2.2
233,Tasty Corner Berlin,Berlin,Mexican,Mole Poblano,65.37,2.5,1.0
234,Savory Oasis Bottrop,Bottrop,Japanese,Ramen Bowl,9.35,3.0,2.0
235,Savory Cuisine Hanover,Hanover,Italian,Tagliatelle al Tartufo,8.62,4.2,3.4
236,Golden Grove Bonn,Bonn,Mexican,Guacamole & Chips,49.26,1.6,1.7
237,Fresh Corner Nuremberg,Nuremberg,Turkish,Köfte,68.06,2.2,4.0
238,Tasty Oasis Braunschweig,Braunschweig,Turkish,Meze Platter,49.18,3.6,4.4
239,Rustic Bites Stuttgart,Stuttgart,Chinese,Sesame Chicken,11.92,1.5,1.7
240,Tasty Flavors Bielefeld,Bielefeld,Mediterranean,Shawarma,63.5,1.1,2.1
241,Delicious Flavors Reutlingen,Reutlingen,French,Cassoulet,53.84,2.1,4.1
242,Cozy Nest Hamburg,Hamburg,German,Leberkäse,22.71,1.4,4.1
243,Zesty Burger Spot Siegen,Siegen,Indian,Paneer Butter Masala,46.55,3.5,3.1
244,Smoky Cuisine Aachen,Aachen,French,Crème Brûlée,71.59,3.4,2.5
245,Exquisite Resto Regensburg,Regensburg,Mediterranean,Briam,74.37,1.5,2.8
246,Gourmet Eats Oberhausen,Oberhausen,Mediterranean,Dolma,2.11,1.3,2.5
247,Elegant Food Spot Bottrop,Bottrop,German,Rinderroulade,68.4,4.6,2.5
248,Vibrant Burger Spot Göttingen,Göttingen,Turkish,Menemen,23.57,1.5,2.8
249,Golden Nest Munich,Munich,Mediterranean,Moussaka,55.91,3.2,3.0
250,Fresh Diner Siegen,Siegen,Turkish,Simit,52.74,1.7,2.9
251,Fusion Heaven Erlangen,Erlangen,Chinese,Sichuan Hot Pot,32.08,2.6,4.7
252,Juicy Den Stuttgart,Stuttgart,Chinese,Fried Rice,63.33,2.3,2.2
253,Fusion Eats Trier,Trier,Thai,Som Tum (Papaya Salad),77.27,4.1,1.8
254,Fresh Cuisine Bonn,Bonn,Chinese,Hot and Sour Soup,29.63,1.1,1.4
255,Fusion Feast Bremerhaven,Bremerhaven,Japanese,Tempura,52.32,4.8,3.8
256,Divine Eats Duisburg,Duisburg,Turkish,Pide,48.65,4.3,2.8
257,Grand Bites Düsseldorf,Düsseldorf,Japanese,Okonomiyaki,5.08,1.8,4.8
258,Crispy House Offenbach,Offenbach,German,Matjes Brötchen,2.65,4.5,1.8
259,Royal Feast Münster,Münster,German,Pretzel & Beer,31.28,1.1,3.0
260,Grand Resto Leverkusen,Leverkusen,Mediterranean,Manakeesh,28.71,4.0,4.1
261,Yummy Bites Augsburg,Augsburg,Mexican,Tacos,8.68,3.0,1.2
262,Divine Bites Potsdam,Potsdam,Thai,Pad Thai,63.74,3.8,3.2
263,Royal Pizza House Stuttgart,Stuttgart,German,Labskaus,25.98,4.2,4.3
264,Fusion Table Oberhausen,Oberhausen,Mediterranean,Moussaka,31.85,4.3,4.8
265,Yummy Food Spot Mannheim,Mannheim,Italian,Arancini,70.14,3.1,1.3
266,Flavorful Barbecue Trier,Trier,Japanese,Gyoza,7.13,1.4,4.8
267,Zesty Resto Düsseldorf,Düsseldorf,Chinese,Hot and Sour Soup,40.72,3.1,4.0
268,Succulent Nest Berlin,Berlin,Indian,Samosa,61.5,3.2,2.2
269,Gourmet Barbecue Potsdam,Potsdam,Indian,Biryani,30.38,1.8,4.8
270,Golden Nest Duisburg,Duisburg,Mediterranean,Moussaka,44.49,3.6,4.7
271,Savory Kitchen Braunschweig,Braunschweig,Italian,Parmigiana,49.62,3.6,4.8
272,Gourmet Palace Mülheim,Mülheim,Indian,Paneer Butter Masala,20.62,4.4,2.4
273,Succulent Oasis Nuremberg,Nuremberg,Chinese,Sesame Chicken,28.12,3.8,2.9
274,Royal Bites Bottrop,Bottrop,German,Käsespätzle,40.52,1.3,4.3
275,Authentic Bites Kassel,Kassel,Italian,Ossobuco,2.0,2.1,1.8
276,Fusion Palace Halle (Saale),Halle (Saale),French,Ratatouille,26.1,4.8,3.6
277,Juicy Palace Bochum,Bochum,Turkish,Lahmacun Wrap,10.14,4.3,4.5
278,Fresh Bites Bergisch Gladbach,Bergisch Gladbach,Japanese,Takoyaki,13.1,1.0,2.4
279,Yummy Resto Göttingen,Göttingen,Mediterranean,Shawarma,77.37,1.4,1.4
280,Golden Tavern Berlin,Berlin,Italian,Ossobuco,76.51,4.8,3.3
281,Flavorful Barbecue Regensburg,Regensburg,Turkish,Iskender Kebab,56.37,3.2,1.6
282,Rustic Bites Heidelberg,Heidelberg,Indian,Samosa,70.8,2.9,4.1
283,Grand Den Berlin,Berlin,Chinese,Kung Pao Chicken,54.94,1.6,3.6
284,Gourmet Grove Wuppertal,Wuppertal,French,Macarons,68.86,4.0,4.2
285,Smoky Hub Lübeck,Lübeck,Turkish,Karniyarik,63.1,3.3,4.8
286,Delicious Food Spot Bergisch Gladbach,Bergisch Gladbach,French,Cassoulet,42.65,3.1,4.9
287,Tasty Retreat Erlangen,Erlangen,Chinese,Sesame Chicken,22.46,4.1,3.2
288,Authentic Heaven Mülheim,Mülheim,Indian,Pav Bhaji,58.59,4.7,3.4
289,Golden Flavors Mainz,Mainz,Mexican,Guacamole & Chips,60.94,3.7,2.4
290,Zesty Cafe Augsburg,Augsburg,French,Bouillabaisse,41.01,2.4,3.8
291,Vibrant Grill Stuttgart,Stuttgart,Thai,Khao Pad Sapparod (Pineapple Fried Rice),39.4,3.0,1.3
292,Juicy Den Münster,Münster,Chinese,Lotus Root Salad,56.32,2.5,3.3
293,Flavorful Cafe Hamburg,Hamburg,Mexican,Nachos,48.12,4.1,1.0
294,Savory Feast Regensburg,Regensburg,German,Rinderroulade,52.03,1.5,4.0
295,Tasty Cafe Leverkusen,Leverkusen,Thai,Pad Thai,33.65,4.9,2.8
